Title;Author(s);Year;Publication Title;Type of Publication;Source;DOI;Abstract
Fair artificial intelligence to support STEM Education: A Hitchhiker's guide;"Xing W.; Li C.";2024;Uses of Artificial Intelligence in STEM Education;Book chapter;Scopus;10.1093/oso/9780198882077.003.0023;"Artificial intelligence (AI) incorporates the applications of machine-learning systems dominantly within the automated assessment and intelligent tutoring systems. These AI applications have promising potential to increase capacity within science, technology, engineering, and mathematics (STEM) education by supporting the social and cognitive development and learning experiences of students. Despite the affordances, AI applications pose critical ethical and societal challenges; and the issues of ethics and power of AI are largely absent from the discussions of formal or informal K-12 STEM education. Therefore, this chapter aims to bring a critical discourse on (a) the benefits and affordances of AI systems in K-12 STEM education, (b) what counts as an ethical AI system and what macro-ethical issues surround AI systems in education, and (c) what critical pedagogical approaches can be used to teach and raise critical consciousness about the macro-ethical issues of AI in STEM education. © Oxford University Press 2024. All rights reserved."
Exploring the Integration of Artificial Intelligence-Based ChatGPT into Mathematics Instruction: Perceptions, Challenges, and Implications for Educators;"Egara F.O.; Mosimege M.";2024;Education Sciences;Article;Scopus;10.3390/educsci14070742;This research investigates how secondary school mathematics educators in the Nsukka Education Zone, Enugu State, Nigeria, perceive the incorporation of artificial intelligence-based ChatGPT into teaching mathematics. The study employed a sequential exploratory mixed-methods strategy, starting with a systematic survey and followed by detailed interviews. The Mathematics Teachers’ Awareness and Perceptions of AI-based ChatGPT Questionnaire (MTAPACQ) used in this study was adapted from an existing online survey and administered to 80 mathematics teachers, who were selected using stratified random sampling to ensure varied representation across different local government areas. The survey explored teachers’ awareness, utilisation, and perceptions of ChatGPT. Following the quantitative phase, in-depth qualitative interviews were conducted with a subset of five teachers who were familiar with ChatGPT to gain deeper insights into their experiences. The findings indicate limited awareness of ChatGPT, with only 17% demonstrating familiarity with the technology. The infrequent utilisation of ChatGPT in mathematics teaching is mainly associated with this limited awareness. Teachers who integrate ChatGPT Report positive outcomes, including improved teaching effectiveness, heightened student engagement, and enhanced comprehension of complex concepts. Nevertheless, the overall perceptions of the tool’s impact on mathematics teaching and learning are moderate. The identified challenges in relation to integration include technical adaptability, curriculum alignment, and the need for customisation to accommodate diverse learning styles. This study emphasises the significance of continuous professional development and ongoing support for teachers to integrate AI-based ChatGPT into mathematics instruction proficiently. The insights derived from the findings hold value for educators, policymakers, and technology developers aspiring to elevate the role of artificial intelligence in mathematics education. © 2024 by the authors.
Using Specialized AI Services Offered by EOSC for the Professional Development of Science and Mathematics Teachers;"Kovalenko V.; Marienko M.";2025;Lecture Notes in Networks and Systems;Conference;Scopus;10.1007/978-3-031-83520-9_21;The article addresses the issue of utilizing specialized AI services for science and mathematics subjects, considering the specifics of the educational materials. There are few free specialized AI services available. As an alternative, Ukrainian teachers of science and mathematics subjects often resort to using general AI services for the educational process, which may sometimes fit the aims of these subjects’ learning not enough. The EOSC environment (https://eosc-portal.eu/) encompasses specialized AI services primarily for scientists. These EOSC services are offered free of charge or as open-source platforms, with pre-registration required for on-demand access by developers. While the primary focus of EOSC AI services is on the scientific community, they can also be effectively used by teachers of secondary schools. It is to extend the benefits of AI in teaching science and mathematics. By adopting EOSC services, it becomes feasible to enhance students' understanding of specific materials and facilitate the study of complex terms and processes. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.
Teaching the Specialized Language of Mathematics with a Data-Driven Approach: What Data Do We Use?;"Fissore C.; Floris F.; Conte M.M.; Sacchet M.";2025;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics) ;Conference;Scopus;10.1007/978-3-031-73741-1_4;Numerous studies in Mathematics Education have shown that among the causes of disciplinary learning difficulties are the acquisition and understanding of its specialized language. Data-Driven Learning (DDL) is a didactic approach that treats language as data and sees students as researchers doing guided discovery activities. The exploration of corpora can effectively support reflection on the specialized languages of Mathematics. What data should be used? Students daily use the most recent Large Language Models (LLM) and Google, which can be used for linguistic investigations. However, it must be remembered that there is no total control over the data on which searches are carried out, the results, and the type of language they use. Control over the data is important, especially when teachers want to use these tools to design and deliver didactic activities. This paper presents a recent DDL research activity with 80 secondary school students on the specialized language of Mathematics. The students conducted linguistic investigations on a specially designed corpus and carried out corpus-based activities with automatic formative assessment within a Digital Learning Environment. The results show that the students appreciated the proposed activities. They develop linguistic and mathematical skills and become more aware of the importance of the language they use. Students developed digital skills in browsing, searching, and filtering data, as well as in evaluating data, information, and digital content. LLM, such as ChatGPT, could not be used for the same type of activity, but with appropriate design, they can be used as a starting point for investigation and linguistic reflection. In the future, given the notable diffusion of these AI tools, it is essential to train teachers and students on their strengths and weaknesses and how they influence teaching and learning. © The Author(s) 2025.
Bridging the Gender Gap: The Role of AI-Powered Math Story Creation in Learning Outcomes;"Zhu W.; Xing W.; Lyu B.; Li C.; Zhang F.; Li H.";2025;15th  International Conference on Learning Analytics and Knowledge, LAK 2025;Conference;Scopus;10.1145/3706468.3706539;Addressing the gender gap in K-12 math education is essential for providing equitable learning opportunities, as historical disparities in engagement, performance, and confidence between male and female students in mathematics are often linked to educational biases. Integrating Generative AI (GAI) into math education shows promise for bridging the gender gap in K12 math learning. This study proposes an innovative pedagogy and platform that enables students to create math stories powered by GAI, enhancing their conceptual understanding of key mathematical ideas. The platform was implemented in two K5 schools to evaluate its effectiveness and mechanism (N = 86). Pre- and post-intervention surveys and usage logs indicated significant improvements in students' learning outcomes regarding Math Question (MQ) skills and Math Story (MS) skills. Bayes SEM further modeled the mechanism: students' creating math stories powered by GAI significantly improves MS, which further improves MQ. We further found female students were significantly more engaged in creating stories on this platform and gained more improvement on MQ than male students. The results suggest that AI-powered math story creation can be an effective tool for deepening students' mathematical learning outcomes and has the potential to mitigate the gender gap. © 2025 Copyright held by the owner/author(s).
Widening the Digital Divide: The mediating role of Intelligent Tutoring Systems in the relationship between rurality, socioeducational advantage, and mathematics learning outcomes;"Hannan B.; Eynon R.";2025;Computers and Education;Article;Scopus;10.1016/j.compedu.2025.105312;This study examines how the effects of school socioeducational advantage and rurality upon mathematics learning outcomes, are impacted by students’ usage of the ITS platform AdaptiveMath. Activity log data from the AdaptiveMath platform was merged with school sociodemographic data from the public MySchool database. The final analytic sample comprised of 66,451 Australian high school students across 304 schools in Years 7–10, who used the AdaptiveMath ITS platform in 2023. Structural Equation Modelling was employed to examine both the direct and indirect effects of school socioeducational advantage and rurality on student usage of the AdaptiveMath platform, and the resulting student learning outcomes. This study finds marginal, but statistically significant relationships between ITS usage and learning outcomes, and the socioeducational advantage and rurality of a student's school. Students who are from more affluent and urban schools use the ITS platform earlier in their school career, for more years, and have higher learning outcomes than their rural, less affluent peers. Further, ITS usage was found to mediate the relationship between socioeducational advantage and rurality, such that it amplified the positive effects of socioeducational advantage, and the negative effects of rurality, upon learning outcomes. The results suggest that introducing ITS platforms into Australian mathematics teaching will not reduce achievement gaps between affluent and disadvantaged schools. Rather, a Matthew Effect may be observed, whereby students attending privileged schools use ITS platforms more effectively, thereby contributing to an even greater disparities in learning outcome. © 2025 The Authors
RICE AlgebraBot: Lessons learned from designing and developing responsible conversational AI using induction, concretization, and exemplification to support algebra learning;"Li C.; Xing W.; Song Y.; Lyu B.";2025;Computers and Education: Artificial Intelligence;Article;Scopus;10.1016/j.caeai.2024.100338;The importance and challenge of Algebra learning is widely recognized, with students across the U.S. facing difficulties due to the subject's complexity. While extensive research has focused on enhancing Algebra learning in K-12 education, the reusability, scalability, and effectiveness of the strategies employed (e.g., manual interventions and digital tutoring platforms) remain limited. Conversational AI (ConvAI), enabled by the advancement of large language models (LLMs), emerges as a potential tool for automatic, personalized, and effective student support. However, ethical concerns surrounding diversity, safety, sentiment, and stereotype associated with ConvAI are prominent, and empirical studies examining its application in education are scarce. The purpose of this study is to develop a ConvAI system that mitigates the potential ethical concerns and empirically evaluate the effect of such a system for math learning. Specifically, we first examined computational strategies to mitigate the ethical concerns of ConvAI in educational setting with educational big data (npretraining = 2,097,139) and found that researchers could effectively enhance ConvAI responsibility through the investigated algorithmic strategies. Then, a ConvAI system was constructed using these strategies, guided by learning sciences principles. Lastly, we examined students' eye-tracking patterns, acceptance, and learning processes when using this ConvAI system to learn Algebra through a random experiment (nparticipant = 151). Participants using the developed ConvAI demonstrated generally increased visual attention levels as compared to the control group. Moreover, participants expressed a positive acceptance towards the ConvAI technology. Finally, participants' interaction patterns with the ConvAI technology influenced their Algebra learning. These results provide insights for both educational researchers and practitioners to integrate ConvAI in learning environments. © 2024 The Authors
The Seamless Integration of Machine Learning Education into High School Mathematics Classrooms;"Oh H.; Guo R.; Xing W.; Liu Z.; Song Y.; Li C.";2024;ASEE Annual Conference and Exposition, Conference Proceedings;Conference;Scopus; ;[No abstract available]
"Analysis and comparison of generative AI and mathematics teachers’ answers to an euclidean geometric problem; [Análisis y comparación de respuestas aportadas por IA generativa y por profesores de matemática a un problema de geometría euclidiana]";"Corica A.R.; Parra V.; Sureda P.; Schiaffino S.; Godoy D.";2025;Educacion Matematica;Article;Scopus;10.24844/EM3701.05;This work aims to shed some light on the performance of Generative Artificial Intelligence (GAI) in solving mathematical problems and its impact on the teaching profession. The conceptual framework adopted throughout this work is Problem Based Learning. The answers to a problem offered by GAI models and mathematics teachers are explored, analyzed and compared. The problem studied belongs to euclidean geometry, and it is characterized by not admitting a single and immediate answer. It consists of dividing a circle into three surfaces of any dimension but with equal area. The categories for analysis are type of cut, representation system, level of mathematical validation and resolution type. We concluded that GAI offers inconsistent responses, little variety of answers, with few mathematical validations and with a predominance of a colloquial representation system. The teachers’ answers are correct, they offer a great variety of partitions, the predominant representation systems are geometric, graphic and arithmetic ones, and they offer some type of validation. It is concluded that the use of GAI models are not appropriate for this type of problems, without any critical reasoning. © 2025 Mexican Society for Research and Dissemination of Mathematics Education. All rights reserved.
Board 211: Building a'Project-Based Learning for Rural Alabama STEM Middle School Teachers in Machine Learning and Robotics' RET Site (Year 2);"Gong X.; Marghitu D.";2024;ASEE Annual Conference and Exposition, Conference Proceedings;Conference;Scopus;https://doi.org/10.18260/1-2--46779;"This paper is based on a longitudinal project funded by the National Science Foundation Research Experiences for Teachers (RET) in Engineering and Computer Science grant. The primary objective of this project is to develop an RET Site under CISE at Auburn University (AU) in Alabama. The title of the research project is ""RET Site: Project-Based Learning for Rural Alabama STEM Middle School Teachers in Machine Learning and Robotics"", and this project provides engaging research experiences to middle and high school science teachers from primarily rural and underserved school districts in Alabama. In-service teachers (7th and 8th grade) participate in a 6-week summer professional development program with an emphasis on machine learning and AI. In addition, to the summer professional development institute teachers lead a weeklong summer camp for middle school students where they have an opportunity to implement curriculum modules they have developed and the project team provides support for teachers to implement the curriculum modules during the academic year as well. Providing consistent support and professional development for teachers in underserved school districts is essential for preparing students with the 21st century skills they will need to engage in an increasingly technological society. This is also essential for broadening participation in STEM for students from traditionally underrepresented populations. Engaging teachers' innovative content (e.g. AI, machine learning, robotics) enhances their pedagogical content knowledge and provides them the skills to better prepare their students to become scientists, engineers, innovators, and entrepreneurs in these areas. As part of this RET project, teachers explore various research topics alongside faculty mentors' and learn how to connect their science and mathematics objectives to machine learning, mobile robot, computer vision, virtual and augmented reality concepts and develop curriculum modules using this content. Teachers also engage with science education researchers to better understand how to make the science content more relevant to their students' daily lives. Teachers enhanced their knowledge in inquiry-based, hands-on research pedagogical strategies and structured and designed their lessons through a lens of project-based learning. Key to this project was demonstrating how leveraging an innovative platform of ML-based mobile robots can be friendly and easily accessible to teachers. This project also fosters strong collaborations between in-service teachers, and engineering and STEM education faculty. Program participants for yr2 included seven teachers, one male and six females. Of the seven teacher participants four identified as African American, two identified as white, and one participant identified as biracial. Surveys instruments included the Project Knowledge Scale, the Patterns of Adaptive Learning Scales (PALS), Computer Self-Efficacy Scale, and the Teacher Self-Efficacy Scale all used to measure teachers' knowledge, attitudes, computer, and teaching self-efficacy changes pre and post surveys were disseminated to program participates during the summer 6-week professional development institute. Research findings indicated that teacher participant knowledge, attitudes, computer self-efficacy, and teaching self-efficacy increased slightly after the summer professional development institute. © American Society for Engineering Education, 2024."
Automated feedback improves teachers’ questioning quality in brick-and-mortar classrooms: Opportunities for further enhancement;"Demszky D.; Liu J.; Hill H.C.; Sanghi S.; Chung A.";2025;Computers and Education;Article;Scopus;10.1016/j.compedu.2024.105183;AI-powered professional learning tools that provide teachers with individualized feedback on their instruction have proven effective at improving instruction and student engagement in virtual learning contexts. Despite the need for consistent, personalized professional learning in K-12 settings, the effectiveness of automated feedback tools in traditional classrooms remains unexplored. We present results from 224 Utah mathematics and science teachers who engaged in a pre-registered randomized controlled trial, conducted in partnership with TeachFX, to assess the impact of automated feedback in K-12 classrooms. This feedback targeted “focusing questions” — questions that probe students’ thinking by pressing for explanations and reflection. We find that teachers opened emails containing the automated feedback about 53–65% of the time, and the feedback increased their use of focusing questions by 20% (p < 0.01) compared to the control group. The feedback did not impact other teaching practices. Qualitative interviews with 13 teachers revealed mixed perceptions of the automated feedback. Some teachers appreciated the reflective insights, while others faced barriers such as skepticism about accuracy, data privacy concerns, and time constraints. Our findings highlight the promises and areas of improvement for implementing effective and teacher-friendly automated professional learning tools in brick-and-mortar classrooms. © 2024 Elsevier Ltd
AI-Driven Educational Transformation in Secondary Schools: Leveraging Data Insights for Inclusive Learning Environments;"Duraes D.; Bezerra R.; Novais P.";2024;IEEE Global Engineering Education Conference, EDUCON;Conference;Scopus;10.1109/EDUCON60312.2024.10578910;In recent years, in the field of education, there has been a progressive trend towards teaching that is more personalised to students' characteristics and some models of prediction failure that are more accurate. In this sense, machine learning techniques have contributed to this realisation. This transformation has been significantly influenced by the integration of machine learning techniques, which have played a crucial role in harnessing data to enhance educational practices. This paper investigates the transformative potential of Artificial Intelligence (AI) within secondary education, focusing on the utilization of student assessment data and socioeconomic contextual information. The primary objective of this paper is to investigate the transformative potential of Artificial Intelligence (AI) within secondary education, with a specific focus on the utilization of student assessment data and socioeconomic contextual information. So, this paper explores the application of AI algorithms to create tailored learning pathways, adaptive support mechanisms, and targeted interventions that accommodate diverse student backgrounds. The integration of AI in secondary education is envisioned not only as a means to enhance academic outcomes but also as a tool to promote social equity and inclusivity. By leveraging data insights, educators can identify and respond to the unique needs of each student, fostering an environment where learning is optimized for individual growth. Furthermore, the paper scrutinizes the ethical considerations and challenges inherent in deploying AI systems in educational settings, emphasizing the pivotal role of equity, transparency, and data privacy in these implementations. This research aims to offer educators, policymakers, and stakeholder's insights into harnessing AI to foster adaptable, student-centric learning environments that bridge educational gaps and promote holistic academic development in secondary schools. Ethical guidelines and frameworks are discussed to ensure responsible AI deployment in educational contexts, safeguarding the rights and privacy of students. The data explored is taken from the management system of a secondary school in the municipality of Braga, relating to students taking Maths A, Maths B or Maths Applied to the Social Sciences (MACS). A total of 621 students were analysed, of which: 520 students attended Mathematics A in the Science and Technology and Socio-Economic Sciences courses, 20 attended Mathematics B in the Visual Arts course and 81 attended Mathematics Applied to Social Sciences in the Languages and Humanities course. The different maths subjects were analysed separately and at the end a comparative study was carried out between the three strands. Grounded in the analysis of these integrated datasets, the study sheds light on the pivotal role of AI in revolutionizing secondary school education. By closely examining student assessment data alongside socioeconomic indicators, such as academic performance and behavioral patterns, the paper identifies opportunities for AI integration to personalize learning experiences, address educational disparities, and cultivate inclusive learning environments. In Maths A there are 268 female and 252 male students. In Maths B there are 18 females and 2 males (most of the arts subjects are taken by women). In MACS the distribution is as follows: 45 female and 36 male. All these students, regardless of the area they chose at the start of secondary school, have in common the choice of Maths, however Maths A will be taken throughout secondary school, while the other two strands are only taken in the first two years of secondary school. Data fusuion techniques have achieved better performance in this type of study, since the models themselves combine the predictions of two or more base models.  © 2024 IEEE.
Enhancing mathematics teachers’ pedagogical skills by using ChatGPT;Alhazzani N.S.;2024;International Journal of Innovative Research and Scientific Studies;Article;Scopus;10.53894/ijirss.v7i4.3460;The primary aim of this study was to propose a conceptual framework intended to leverage the capabilities of the Chat GPT artificial intelligence model to enhance the creative teaching proficiencies of secondary school mathematics teachers. A closed interview questionnaire designed by the researcher was administered to evaluate the proficiency levels of secondary mathematics teachers using a descriptive methodology. The study sample comprised 31 mathematics teachers. Furthermore, the researcher developed a proposed conceptual framework aimed at activating the Chat GPT model to foster creative teaching skills among secondary mathematics teachers. Analysis of the data revealed that teachers demonstrated a moderate level of proficiency in the planning dimension of creative teaching while their execution and evaluation competencies were comparatively less advanced. Moreover, the study confirmed the appropriateness of the proposed conceptual framework for augmenting the creative teaching aptitudes of secondary mathematics teachers emphasizing its relevance, significance and practical utility. According to teachers’ perspectives, this framework is appropriate in light of its relevance, importance and applicability. In a nutshell, this research contributes to the discourse on innovative pedagogical strategies by proposing a viable framework for the integration of artificial intelligence technologies into mathematics education. By doing so, it seeks to nurture creativity and efficacy among teachers within the secondary school potentially enhancing the quality of mathematics instruction and student learning outcomes. These findings underscore the importance of integrating regenerative AI ChatGPT into classrooms emphasizing its role in enhancing creative teaching skills and its practical applicability in educational contexts. © 2024 by the author.
Can Generative AI Solve Geometry Problems? Strengths and Weaknesses of LLMs for Geometric Reasoning in Spanish;"Parra V.; Sureda P.; Corica A.; Schiaffino S.; Godoy D.";2024;International Journal of Interactive Multimedia and Artificial Intelligence;Article;Scopus;10.9781/ijimai.2024.02.009;Generative Artificial Intelligence (AI) has emerged as a disruptive technology that is challenging traditional teaching and learning practices. Question-answering in natural language fosters the use of chatbots, such as ChatGPT, Bard and others, that generate text based on pre-trained Large Language Models (LLMs). The performance of these models in certain areas, like Math problem solving is receiving a crescent attention as it directly impacts on its potential use in educational settings. Most of these evaluations, however, concentrate on the construction and use of benchmarks comprising diverse Math problems in English. In this work, we discuss the capabilities of most used LLMs within the subfield of Geometry, in view of the relevance of this subject in high-school curricula and the difficulties exhibited by even most advanced multimodal LLMs to deal with geometric notions. This work focuses on Spanish, which is additionally a less resourced language. The answers of three major chatbots, based on different LLMs, were analyzed not only to determine their capacity to provide correct solutions, but also to categorize the errors found in the reasoning processes described. Understanding LLMs strengths and weaknesses in a field like Geometry can be a first step towards the design of more informed methodological proposals to include these technologies in classrooms as well as the development of more powerful automatic assistance tools based on generative AI. © 2024, Universidad Internacional de la Rioja. All rights reserved.
Design Prototype of an AI-Assisted Platform for Enhancing Mathematical Modelling Instruction in Secondary Education;"Lo C.K.; Huang X.; Xu S.; Ko L.W.; Cheung H.W.; Pang W.F.; Ho T.K.; Lam Y.P.; Poon M.L.; Mo C.H.";2024;Proceedings - 2024 6th International Workshop on Artificial Intelligence and Education, WAIE 2024;Conference;Scopus;10.1109/WAIE63876.2024.00008;The integration of real-world applications in mathematics is a significant focus of the Hong Kong Special Administrative Region's educational policy. To enhance students' capabilities in this domain, embedding mathematical modelling into secondary education has been advocated. However, many teachers face challenges due to limited pedagogical knowledge and resources necessary for effective instruction in this area. To address this, we have initiated a project aimed at developing an AI-assisted platform that supports teachers in mathematical modelling instruction. The ADDIE (Analyse, Design, Develop, Implement, and Evaluate) model serves as the methodological foundation for this project. This paper outlines the preliminary design of this platform, highlighting its user interface and key features that leverage large language models for real-time interactions. In addition, we outline future plans for the platform's implementation and evaluation, contributing to the discourse on designing AI tools to bolster secondary education in mathematical modelling.  © 2024 IEEE.
Aligning AIED Systems to Embodied Cognition and Learning Theories;"Arroyo I.; Rasul I.; Crabtree D.; Castro F.; Poh A.; Gattupalli S.; Lee W.; Smith H.; Micciolo M.";2024;Communications in Computer and Information Science;Conference;Scopus;10.1007/978-3-031-64315-6_1;"Embodied Learning involves the development of perceptuo-motor schemas as students manipulate physical objects that embody a concept, or when students move in domain-relevant ways, physically enacting solutions to problems, as well as gesturing as they interact with peers face-to-face. Teaching standards (e.g., for K-12 math education) align with such theories of learning. For instance, teachers are encouraged to have students “talk mathematics”, construct viable arguments and critique the reasoning of others, model with mathematics, and use tools with precision, among others. Yet most learning technologies and tutoring systems are not designed to facilitate embodied learning; instead, they tend to align with more traditional views of student learning. This paper explores possible ways AIED systems can reflect embodied learning theories, within K-12 STEM education. We present the WearableLearning platform as an example that intends to bring embodied learning to mathematics and computing education for students at the K-12 level, with implications and suggestions on how to use Artificial Intelligence to make embodied learning environments more effective. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024."
A MOOC for exam training mathematics using intelligent tutoring;"Rothkrantz C.; Fitrianie S.; Rothkrantz L.";2024;ACM International Conference Proceeding Series;Conference;Scopus;10.1145/3674912.3674928;Many high school students require costly private lessons to prepare for their final exams. These lessons go beyond what regular schools can provide. As a proof of concept, a distance learning program for exam preparation has been created using Moodle. It offers study materials that incorporate gaming and real-life applications. Each lesson begins with a diagnostic test and follows a specific training program to address students' weaknesses. An AI-based intelligent tutoring system has been developed to take on the role of a teacher and assist students with their work. After the system analyzes errors, the tutor provides specific hints and guidelines to help students solve problems accurately. The developed study material was tested on a group of students preparing for their final exams in mathematics.  © 2024 Owner/Author.
Learning Factors for TIMSS Math Performance Evidenced Through Machine Learning in the UAE;"Nadaf A.; Monroe S.; Chandran S.; Miao X.";2023;Lecture Notes on Data Engineering and Communications Technologies;Book chapter;Scopus;10.1007/978-981-19-8040-4_4;Understanding how the UAE K12 education system performs with data-driven evidence is key to inform better policy making to support UAE vision to upskill human capital growth for its economic transformation. In this study, we investigate the potential of using machine learning techniques to understand key learning factors contributing to UAE student math performance on the TIMSS 2019 assessment. Due to the fact that learning factors co-exist and interact with one another, we explore the SHapley Additive exPlanations (SHAP) approach to explain the complexity of the model. The results highlight the importance and contributions of each learning factor and uncover the relationships between the learning factors. Understanding key learning factors and identifying evidence-based intervention opportunities will help policymakers with informed education intervention designs to improve student mathematics learning, in order to improve UAE student TIMSS math performance over the long run. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.
Artificial Intelligence in Secondary Education: An Innovative Teacher’s Tool to Ensure Individualised Learning for Students;"Lytvynova S.; Vodopian N.; Sysoeva O.";2024;Communications in Computer and Information Science;Conference;Scopus;10.1007/978-3-031-63235-8_26;In recent years, the digital transformation of society has characterised access to the Internet as a prerequisite for educational activities. Artificial intelligence (AI) has opened up new opportunities for developing individualised learning for students. A 2023 study analyses the results of using artificial intelligence by teachers of Ukrainian secondary schools. The main goal of the survey is to determine the state of AI applications for individualised learning and the integration of this technology into pedagogical practice. The study examines the timing of digital technology implementation and its impact on the continuous development of teachers’ digital competencies. Particular attention is paid to the aspects of AI implementation, including educational purposes, teacher readiness, and limitations of this technology. It is established that to implement individualised learning, the goal and objectives of individualisation, the choice of AI services and platforms, opportunities for students, security measures, learning pace, level of mastery of the material and personal interests should be considered. The author proposes a classification of tasks for students using AI and provides examples of assessments for students of grades 7–9 in English, mathematics, and biology. Emphasis is given to the fact that AI-powered automatic assessment enables the recognition of the requirements of every individual student and adapts learning tasks according to their current abilities and knowledge. Despite the challenges and problems of integrating AI into the school environment, the study points to the growing interest of teachers in this technology, the improvement of AI capabilities, and its gradual development as a teacher’s assistant. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.
Evaluating Productivity of Learning Habits Using Math Learning Logs: Do K12 Learners Manage Their Time Effectively?;"Hsu C.-Y.; Horikoshi I.; Li H.; Majumdar R.; Ogata H.";2024;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);Conference;Scopus;10.1007/978-3-031-72315-5_12;Habits refer to behaviors that occur repetitively. As ICT tools spread widely in learners’ school lives, the Learning Analytics (LA) techniques enable researchers to monitor learners’ daily activities and understand their habitual behaviors via fine-grained analysis of the log data that traces one’s actions in digital environments. While types of learning habits were commonly evaluated with academic performance, little evaluation focused on whether the existing habit types involve high learning productivity. Therefore, this study evaluates the productivity of habit types using effective time management factors, including effectiveness, efficiency, and effortlessness. We collected learning logs from 114 learners at the age of 15 on average in a Japanese junior high school. Specifically, we analyzed their self-directed learning of doing math exercises from Apr. 2022 to Feb. 2023. The findings strengthen the importance of teaching and learning process through a better time management strategy in terms of building learning habits, where many students face difficulties. As the implications of this study, we could support learners in time awareness and time adjusting by recommending an appropriate type of learning habits considering its productivity. Hence, the regular scheduling of learning activities can not only improve the learning productivity of learners but also cultivate skills of self-directed learning with effective time management. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.
AI-based Learning Assistants: Enhancing Math Learning for Migrant Students in German Schools;"Kretzschmar V.; Seitz J.";2024;Proceedings - 2024 IEEE Conference on Artificial Intelligence, CAI 2024;Conference;Scopus;10.1109/CAI59869.2024.00035;"Increasing migration leads the education landscape to face the challenge of integrating children into the school system, accounting for inherent disadvantages. On average, as nearly half of them face socio-economic disadvantages, a persistent performance disparity was observed compared to domestic students. Remarkably, even after mitigating the influence of socioeconomic status, immigrant students' scores remained inferior. From March to May 2023, the AI Education (AIEDN) research project investigated how an AI-based learning assistant can compensate for existing impediments by enabling a better understanding through video-based learning. For this study, 275 students were selected from two secondary schools (N=137) and two grammar schools (N=138) in Baden-Württemberg, Germany. The experiment tested the extent to which learners solve more tasks, build broader (transfer) knowledge, and retain it. Students were repeatedly tested on mathematical problems, where the control group did not have access to the AI assistant. In contrast, the other group used the AI assistant to solve the problems. The students' performances from both school groups were statistically tested using t-tests. Within the test group of grammar schools, a significant change in the results between the two test days existed (T(41)=-2,28; pc.01) when the AI tool was used. In contrast, the control group showed no significant change T(37)=-.42; p>.05; d=.O7) in performance. However, the results were insignificant for the secondary school students, as the given tasks and video content were considered too demanding. Further research is needed to determine AIEDN's performance for other target groups. © 2024 IEEE."
Research on Knowledge Graph Extraction Methods for Chinese STEM Curriculum;"Wang C.; Sang X.; Wang X.; Gao Y.; Liu Y.";2024;MLNLP 2024 - 2024 International Conference on Machine Learning and Natural Language Processing;Conference;Scopus;10.1109/MLNLP63328.2024.10800180;STEM education, as an innovative teaching model, has gained widespread attention in recent years. However, the lack of relevant textBooks and learning resources has made its implementation challenging. Developing interdisciplinary knowledge graphs tailored for STEM education has become an urgent issue. To address this, a knowledge extraction framework named Llms4edu is proposed, which utilizes a series of effective prompts to guide large language models in knowledge extraction. Specifically, the knowledge extraction task is transformed into multiple rounds of question-and-answer interactions with the LLM, gradually identifying entity-relation triplets from subject data. Through experiments, an F1-score of 89.4% was achieved on the named entity recognition task in the chemistry subject, and an F1-score of 66.7% on the relation extraction task. Finally, a subject ontology model was built for subject text, and a subject data set was constructed using Llms4edu, which includes three subjects of junior high school mathematics, physics, and chemistry, a total of 2,511 entities, 2,010 relationship triples, and cross-disciplinary knowledge is linked to construct a cross-disciplinary knowledge graph. © 2024 IEEE.
Assessing the effectiveness of an artificial intelligence tutoring system for improving college-level mathematics preparedness in high school students;"Nehring J.; Moyer-Packenham P.; North M.";2023;Issues in Information Systems;Article;Scopus;10.48009/1_iis_2023_111;Intelligent Tutoring Systems (ITS) have been used to help high school students transition from the mathematics taught in high school to the mathematics expected at colleges and universities. The purpose of this study was to examine relationships between high school students’ performance in Assessment and LEarning in Knowledge Spaces (ALEKS) Placement, Preparation, and Learning (PPL) Modules and performance on the ALEKS College Mathematics Placement Exam. The participants in this study were 100 students from five high schools in the United States. Each student was placed into one of two groups: the ALEKS Group, who completed the ALEKS Pre-Calculus Learning Modules, and the Non-ALEKS Group, who did not complete the modules. Students’ scores were compared statistically to test for significant differences. The analysis included a 2x2 mixed ANOVA to measure how assignment of the modules affected exam scores. A logistic regression was used to assess differences between the two groups in placing into college algebra. A statistically significant difference was found in exam scores between the ALEKS Group and the Non-ALEKS Group which indicated that assignment to the ALEKS PPL Pre-Calculus Learning Modules did increase performance on the ALEKS College Mathematics Placement Exam. Conversely, assignment to the ALEKS PPL Pre-Calculus Modules did not increase students’ likelihood of placing into College Algebra. The amount of time students spent taking the exam influenced student outcomes on the ALEKS Mathematics Placement exam. These results show that schools could implement Intelligent Tutoring Systems into their current mathematics classrooms to help students increase their scores on college entry mathematics placement exams. © 2023 International Association for Computer Information Systems.
